1. trenutak: 1.583976853149611 $, 24.136790143232165 kW, [12, 13, 14]

2. trenutak: 1.382395782904015 $, 21.06507859663261 kW, [12, 13, 14]

3. trenutak: 1.0680915584787964 $, 16.27568089110547 kW, [12, 13, 14]

4. trenutak: 0.7284208462194396 $, 11.099746228105746 kW, [12, 13, 14]

5. trenutak: 0.663161545863674 $, 10.105318794113128 kW, [12, 13, 14]

6. trenutak: 0.9478813873253584 $, 14.443906854481652 kW, [12, 13, 14]

7. trenutak: 2.663081729352888 $, 40.58029301871067 kW, [12, 13, 14]

8. trenutak: 2.978636598660068 $, 45.38874817005818 kW, [12, 13, 14]

9. trenutak: 3.3274954388088216 $, 50.70469240089633 kW, [12, 13, 14]

10. trenutak: 2.328374335105224 $, 35.47998986827008 kW, [12, 13, 14]

11. trenutak: 3.76041741053531 $, 57.301598636728535 kW, [12, 13, 14]

12. trenutak: 3.469912318656934 $, 52.874854379534234 kW, [12, 13, 14]

13. trenutak: 3.2683378454095475 $, 49.80324335862167 kW, [12, 13, 14]

14. trenutak: 3.2683239458028734 $, 49.8030315550914 kW, [12, 13, 14]

15. trenutak: 2.768375647917301 $, 42.18477177778744 kW, [12, 13, 14]

16. trenutak: 4.032073794097223 $, 61.441124481481495 kW, [12, 13, 14]

17. trenutak: 3.6907803094011222 $, 56.24046185754091 kW, [12, 13, 14]

18. trenutak: 3.565757332056392 $, 54.33534982181168 kW, [12, 13, 14]

19. trenutak: 3.987697647986862 $, 60.76491654075218 kW, [12, 13, 14]

20. trenutak: 3.253861935040882 $, 49.58265805776582 kW, [12, 13, 14]

21. trenutak: 2.655205812150952 $, 40.460279042300215 kW, [12, 13, 14]

22. trenutak: 2.1424874525220687 $, 32.647427847955335 kW, [12, 13, 14]

23. trenutak: 1.794027552370267 $, 27.337562702785018 kW, [12, 13, 14]

24. trenutak: 1.5839428453758795 $, 24.13627192953721 kW, [12, 13, 14]

