1. trenutak: 3.030190765423296 $, 38.55528785406927 kW, [4, 12, 13]

2. trenutak: 2.2438753953463926 $, 34.192386976706935 kW, [4, 12, 13]

3. trenutak: 1.79180884229677 $, 27.30375378737935 kW, [4, 12, 13]

4. trenutak: 1.291276233146219 $, 19.676590219370958 kW, [4, 12, 13]

5. trenutak: 1.1930029651520988 $, 18.179092802317694 kW, [4, 12, 13]

6. trenutak: 1.616273160103854 $, 24.628924344439678 kW, [4, 12, 13]

7. trenutak: 5.9967051332430525 $, 83.75931631608461 kW, [4, 12, 13]

8. trenutak: 6.652720308147144 $, 93.75573802890885 kW, [4, 12, 13]

9. trenutak: 7.3787878129985485 $, 104.81962381712073 kW, [4, 12, 13]

10. trenutak: 4.318467267679584 $, 65.80521550749843 kW, [4, 12, 13]

11. trenutak: 8.269970191871245 $, 118.39954578089514 kW, [4, 12, 13]

12. trenutak: 7.665899092254386 $, 109.19465283435254 kW, [4, 12, 13]

13. trenutak: 7.247297717441989 $, 102.81596521816364 kW, [4, 12, 13]

14. trenutak: 7.2472998889605424 $, 102.81599830797016 kW, [4, 12, 13]

15. trenutak: 6.21566963240232 $, 87.09591820803534 kW, [4, 12, 13]

16. trenutak: 8.831762526860825 $, 126.96019088549826 kW, [4, 12, 13]

17. trenutak: 6.061589962731767 $, 92.36708514638883 kW, [4, 12, 13]

18. trenutak: 5.6052194291331 $, 85.41286749155199 kW, [4, 12, 13]

19. trenutak: 6.1532843077916235 $, 93.76433230920568 kW, [4, 12, 13]

20. trenutak: 5.061547956378215 $, 77.12834981147756 kW, [4, 12, 13]

21. trenutak: 4.018972997513784 $, 61.24149329544814 kW, [4, 12, 13]

22. trenutak: 3.3118202879215266 $, 50.465832958804214 kW, [4, 12, 13]

23. trenutak: 2.8254437832865547 $, 43.05438145960464 kW, [4, 12, 13]

24. trenutak: 2.530190765423296 $, 38.55528785406927 kW, [4, 12, 13]

